Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Ag,R1_R10,R1,R10,Ag_R1_R10,-0.1129189217621833,0.8635763395483183,0.7506574177861349,0.5879496339384096,20.70467479598086,21.146023549981372
Ag,R1_R11,R1,R11,Ag_R1_R11,-0.1129189217621833,-0.38101781795195944,-0.49393673971414276,0.5879496339384096,20.70467479598086,20.414264870677197
Ag,R1_R2,R1,R2,Ag_R1_R2,-0.1129189217621833,-2.987423267400209,-3.100342189162392,0.5879496339384096,20.70467479598086,18.881829740779025
Ag,R1_R3,R1,R3,Ag_R1_R3,-0.1129189217621833,19.95471326932538,19.841794347563198,0.5879496339384096,20.70467479598086,32.37065051931185
Ag,R1_R4,R1,R4,Ag_R1_R4,-0.1129189217621833,0.2370714737056329,0.1241525519434496,0.5879496339384096,20.70467479598086,20.77767024344853
Ag,R1_R5,R1,R5,Ag_R1_R5,-0.1129189217621833,-1.3445142333640794,-1.4574331551262627,0.5879496339384096,20.70467479598086,19.847777505934673
Ag,R1_R6,R1,R6,Ag_R1_R6,-0.1129189217621833,-0.1765572858634142,-0.2894762076255975,0.5879496339384096,20.70467479598086,20.53447736567351
Ag,R1_R7,R1,R7,Ag_R1_R7,-0.1129189217621833,0.31307883173711387,0.20015990997493058,0.5879496339384096,20.70467479598086,20.822358741779766
Ag,R1_R8,R1,R8,Ag_R1_R8,-0.1129189217621833,10.3478936396416,10.234974717879416,0.5879496339384096,20.70467479598086,26.72232443472694
Ag,R1_R9,R1,R9,Ag_R1_R9,-0.1129189217621833,13.723859477181083,13.6109405554189,0.5879496339384096,20.70467479598086,28.707222313096857
Ag,R1_S1,R1,S1,Ag_R1_S1,-0.1129189217621833,14.866904415760592,14.753985493998409,0.5879496339384096,20.70467479598086,29.37927516630983
Ag,R1_S2,R1,S2,Ag_R1_S2,-0.1129189217621833,-4.532983594283895,-4.645902516046078,0.5879496339384096,20.70467479598086,17.973118112358033
Ag,R1_S3,R1,S3,Ag_R1_S3,-0.1129189217621833,-9.072089386446372,-9.185008308208555,0.5879496339384096,20.70467479598086,15.30435252344839
Ag,R1_S4,R1,S4,Ag_R1_S4,-0.1129189217621833,-8.232887404129688,-8.345806325891871,0.5879496339384096,20.70467479598086,15.797761021751871
Ag,R1_S5,R1,S5,Ag_R1_S5,-0.1129189217621833,0.0401816295133296,-0.0727372922488537,0.5879496339384096,20.70467479598086,20.661908931629476
Ag,R1_S6,R1,S6,Ag_R1_S6,-0.1129189217621833,-8.841235349302753,-8.954154271064937,0.5879496339384096,20.70467479598086,15.440083070080185
Ag,R10_R11,R10,R11,Ag_R10_R11,0.8635763395483183,-0.38101781795195944,0.4825585215963588,0.5879496339384096,20.70467479598086,20.9883949021073
Ag,R10_R2,R10,R2,Ag_R10_R2,0.8635763395483183,-2.987423267400209,-2.1238469278518908,0.5879496339384096,20.70467479598086,19.455959772209127
