Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_B
Ag,R1_R10,R1,R10,Ag_R1_R10,-0.8559472897733335,1.3433050596895983,0.4873577699162649,0.5582384164301395,-17.16598868106227,-16.893926851349292
Ag,R1_R11,R1,R11,Ag_R1_R11,-0.8559472897733335,0.860875046490288,0.004927756716954557,0.5582384164301395,-17.16598868106227,-17.163237817956045
Ag,R1_R2,R1,R2,Ag_R1_R2,-0.8559472897733335,0.8325384607139531,-0.023408829059380354,0.5582384164301395,-17.16598868106227,-17.179056388726863
Ag,R1_R3,R1,R3,Ag_R1_R3,-0.8559472897733335,4.392157809317963,3.5362105195446296,0.5582384164301395,-17.16598868106227,-15.191940120468075
Ag,R1_R4,R1,R4,Ag_R1_R4,-0.8559472897733335,-1.2635151902393214,-2.119462480012655,0.5582384164301395,-17.16598868106227,-18.34915405958763
Ag,R1_R5,R1,R5,Ag_R1_R5,-0.8559472897733335,-0.5718354612129694,-1.4277827509863028,0.5582384164301395,-17.16598868106227,-17.963031862979133
Ag,R1_R6,R1,R6,Ag_R1_R6,-0.8559472897733335,-0.561717064835037,-1.4176643546083705,0.5582384164301395,-17.16598868106227,-17.957383385408303
Ag,R1_R7,R1,R7,Ag_R1_R7,-0.8559472897733335,-1.55002389887471,-2.4059711886480435,0.5582384164301395,-17.16598868106227,-18.509094227389696
Ag,R1_R8,R1,R8,Ag_R1_R8,-0.8559472897733335,0.0303218676247531,-0.8256254221485804,0.5582384164301395,-17.16598868106227,-17.62688450928696
Ag,R1_R9,R1,R9,Ag_R1_R9,-0.8559472897733335,0.00535366903797795,-0.8505936207353555,0.5582384164301395,-17.16598868106227,-17.640822716927154
Ag,R1_S1,R1,S1,Ag_R1_S1,-0.8559472897733335,-5.12900551759937,-5.984952807372704,0.5582384164301395,-17.16598868106227,-20.507019258659128
Ag,R1_S2,R1,S2,Ag_R1_S2,-0.8559472897733335,0.662647055369742,-0.19330023440359145,0.5582384164301395,-17.16598868106227,-17.273896297811305
Ag,R1_S3,R1,S3,Ag_R1_S3,-0.8559472897733335,-0.5099752426711592,-1.3659225324444928,0.5582384164301395,-17.16598868106227,-17.92849911254033
Ag,R1_S4,R1,S4,Ag_R1_S4,-0.8559472897733335,-0.04030969745535305,-0.8962569872286865,0.5582384164301395,-17.16598868106227,-17.66631376232726
Ag,R1_S5,R1,S5,Ag_R1_S5,-0.8559472897733335,0.6168351220828026,-0.2391121676905309,0.5582384164301395,-17.16598868106227,-17.29947027890301
Ag,R1_S6,R1,S6,Ag_R1_S6,-0.8559472897733335,-0.40730844598800536,-1.2632557357613388,0.5582384164301395,-17.16598868106227,-17.87118656253997
