Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_C
Ag,R1_R10,R1,R10,Ag_R1_R10,0.2981030904618662,-2.7925979137483936,-2.4944948232865274,0.6435555149626997,-70.82013742658671,-72.42548332715866
Ag,R1_R11,R1,R11,Ag_R1_R11,0.2981030904618662,-0.9405513924100798,-0.6424483019482136,0.6435555149626997,-70.82013742658671,-71.2335885743839
Ag,R1_R2,R1,R2,Ag_R1_R2,0.2981030904618662,1.2786072800790809,1.576710370540947,0.6435555149626997,-70.82013742658671,-69.8054367721262
Ag,R1_R3,R1,R3,Ag_R1_R3,0.2981030904618662,-24.32260478842992,-24.024501697968056,0.6435555149626997,-70.82013742658671,-86.2812379885448
Ag,R1_R4,R1,R4,Ag_R1_R4,0.2981030904618662,0.42904203418192965,0.7271451246437959,0.6435555149626997,-70.82013742658671,-70.35217917144395
Ag,R1_R5,R1,R5,Ag_R1_R5,0.2981030904618662,1.2040603594134265,1.5021634498752927,0.6435555149626997,-70.82013742658671,-69.85341185404407
Ag,R1_R6,R1,R6,Ag_R1_R6,0.2981030904618662,0.05186161340941125,0.3499647038712775,0.6435555149626997,-70.82013742658671,-70.59491571136806
Ag,R1_R7,R1,R7,Ag_R1_R7,0.2981030904618662,0.7136130565943593,1.0117161470562255,0.6435555149626997,-70.82013742658671,-70.16904192057186
Ag,R1_R8,R1,R8,Ag_R1_R8,0.2981030904618662,-10.520879474540566,-10.2227763840787,0.6435555149626997,-70.82013742658671,-77.399061546791
Ag,R1_R9,R1,R9,Ag_R1_R9,0.2981030904618662,-13.438588550042265,-13.140485459580399,0.6435555149626997,-70.82013742658671,-79.27676931338684
Ag,R1_S1,R1,S1,Ag_R1_S1,0.2981030904618662,-9.158255511374229,-8.860152420912362,0.6435555149626997,-70.82013742658671,-76.52213738047497
Ag,R1_S2,R1,S2,Ag_R1_S2,0.2981030904618662,2.579258072832707,2.877361163294573,0.6435555149626997,-70.82013742658671,-68.968395781409
Ag,R1_S3,R1,S3,Ag_R1_S3,0.2981030904618662,8.269724236093856,8.567827326555722,0.6435555149626997,-70.82013742658671,-65.30626489933366
Ag,R1_S4,R1,S4,Ag_R1_S4,0.2981030904618662,6.926284812115375,7.2243879025772415,0.6435555149626997,-70.82013742658671,-66.17084274965332
