Name,idx,Value
Pd_38_79,20583,-41.3031401187182
Au_79_90,13087,11.7097012810409
Au_26_68,11389,1.27953441813588
Cu_17_75,13715,-12.2569886036217
Ni_26_40,17408,-65.9156542085111
Ag_55_80,9594,27.0003924593329
Pd_1_1,4473,-12.89
Pd_25_90,20326,-28.9422427862883
Pd_0_88,19986,-24.2810159623623
Au_22_27,11188,3.13292450457811
Cu_10_19,2137,2.5
Ni_24_89,17330,-58.3553374484181
Pd_25_26,4782,-31.35
Ag_54_67,9547,37.1010075956583
Pt_47_52,23840,-50.0731716454029
Ni_15_17,3452,-53.8448
Au_8_54,13251,20.2654034495354
Pd_52_57,5900,-38.45
Pt_38_43,23321,-48.8985478691757
Cu_37_74,14641,-13.7817582562566
Ni_19_71,16935,-58.3630456030369
Pt_11_15,6471,-36.54
Cu_18_57,13769,2.79125976935029
Ag_80_84,10355,26.8439874090254
Au_15_62,933,6.02
Ag_3_39,453,11.1204
Ni_5_16,19147,-48.1444085203111
Ni_3_6,18300,-59.0444396138191
Pt_1_63,22226,-34.6252855062485
Pd_11_25,3976,-34.15
Au_17_32,10941,-0.952748890966177
Ag_37_44,394,13.3464
Ni_73_82,19590,-68.2396458871663
Cu_44_68,14917,-2.44682040065527
Ni_21_55,17133,-61.2997862584889
Au_7_89,13150,3.89122136309743
Ni_84_84,19803,-46.1676419526339
Pd_53_76,20912,-37.8238873705268
Pd_81_81,21464,-29.8840247355402
Ni_39_41,18202,-76.3668927997351
Ni_47_49,18657,-82.1829790063202
Ni_24_65,17307,-57.9334231093526
Pd_48_60,5753,-44.41
Cu_32_62,2804,-3.36
Au_0_56,725,11.97
Pt_11_38,21703,-46.3620117157698
Cu_25_38,2591,-13.8887
Ni_7_57,19729,-63.7202284894884
Ni_58_75,19100,-62.2115048468113
Ni_54_57,18973,-59.7316535785794
Pd_25_69,4825,-34.37
Cu_32_41,2788,-22.9011
Ag_27_49,258,8.58
Pd_51_74,20872,-33.4141974039376
Ag_49_51,9269,14.3590740375221
Cu_7_22,15958,3.35576833412051
Ni_8_18,19838,-40.2747747935355
Pt_35_47,23166,-43.5411524549127
Pt_1_86,22244,-42.9721351563931
Pt_38_78,23351,-43.76475514099
Pt_54_59,24152,-48.6090118587017
Au_15_17,10821,7.04095803201199
Pd_7_49,6274,-44.12
Ag_5_54,9762,27.0578613653779
Cu_21_48,2527,-13.9623
Ag_51_78,9445,29.0674259960651
Au_31_41,11611,3.96517669036984
Au_27_32,1254,-0.36
Cu_7_27,15963,-16.8910725861788
Pt_13_24,6539,-36.18
Pt_30_57,22896,-35.286489713937
Ni_20_66,3526,-63.1999
Pd_21_45,4608,-37.24
Au_50_63,12217,0.88249833136797
Pd_44_70,5663,-46.46
Ag_25_27,8128,19.2083180993795
Au_9_21,13285,2.79855966195464
Ni_16_78,16751,-48.9058626741171
Ag_32_63,8577,16.49615688622
Pt_18_66,22112,-27.0886460915208
Ag_60_75,9816,24.0044550076127
Au_28_57,1287,8.25
Cu_4_51,3174,6.77
Pd_22_26,4638,-35.59
Ag_6_63,10099,19.3317115567625
Ni_22_31,3532,-28.5616
Au_32_48,1422,-2.82539
Ni_63_80,19301,-65.6636110320687
Pt_60_87,24414,-52.2618150226772
Pt_22_80,22423,-33.6026185229421
Pd_25_67,4823,-34.82
Cu_16_79,13687,3.66035694628954
Ni_41_47,3631,-76.86
Ni_67_73,19395,-57.4149842299521
Ni_60_79,19228,-60.4345257729292
Ag_78_86,10271,18.9735429622233
Ag_63_89,9913,13.5386225357652
Au_3_69,1681,4.79
Cu_14_63,2331,-3.57
Ni_21_86,17163,-67.399419952184
Ni_31_79,17812,-57.3169057667255
Au_3_61,1674,-1.39
Ni_78_87,19670,-61.3296610340476
Cu_7_25,15961,-13.0328691378236
Ag_34_88,8685,14.307851485908
Au_13_86,10774,-4.26983704790473
Pt_17_45,22032,-45.6070259958506
Pd_58_88,21020,-44.4388183951378
Pd_39_79,20602,-44.6369875147939
Ni_54_86,19000,-69.619017072022
Ag_8_70,10465,18.9398593381047
Pt_42_56,23615,-49.6738485917449
Au_41_53,11936,2.48682473599911
Cu_9_90,16211,-2.51071228832006
Cu_56_57,15351,0.297403413802385
Ni_44_76,18551,-70.6966154500842
Au_6_53,12889,1.77479566633701
Au_14_59,10795,2.19820751994848
Cu_43_89,14898,-1.83969876542687
Au_2_84,11546,7.58047330379486
Pd_33_43,5207,-43.7
Cu_48_81,15046,-8.86523003131151
Au_4_26,1911,17.44
Pd_18_60,4409,-23.55
Ni_52_57,3689,-59.9
Cu_3_11,2966,-10.2027
Cu_68_70,3306,0.7
Cu_6_16,15740,2.1304033882916
Pt_57_88,24261,-55.0693039037287
Ni_46_60,18625,-67.1841195933521
Cu_44_83,14930,0.190850637853146
Cu_4_62,3185,8
Pd_1_14,20182,-28.5906358510256
Pt_4_19,23964,-29.3410393819213
Pt_9_87,25112,-53.1924552544951
Ag_53_68,9512,29.4422839358449
Pt_7_74,24926,-40.277040656656
Cu_27_51,2672,-13.07
Au_48_50,1863,-1.53
Cu_13_88,13537,-11.060107961297
Cu_51_69,15186,3.79183983802795
Cu_12_48,2245,-16
Ag_23_61,8043,25.3317233659327
Ni_32_74,17859,-68.1719534173608
Au_19_73,11028,-1.7522915750742
Ni_11_79,16437,-67.2137181945145
Pt_40_47,23508,-52.8968208879232
Ag_35_35,8688,24.6706274822354
Ag_21_66,7928,19.883727543056
Ni_5_45,19170,-63.5170723944902
Ag_26_31,8184,12.7394468821585
Ag_7_57,10325,16.5200219452381
Ag_5_59,9767,22.8389410562813
Pt_8_56,25036,-37.3006354831159
Au_43_66,1776,5.38
Au_55_58,12399,3.60237025469542
Ag_1_40,7781,16.7101317197084
Pd_1_42,4500,-36.48
Ag_40_52,8946,12.3064816445112
Ag_14_72,7430,10.337859660387
