Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
32_32,Ag,16.15,1821,32,32,NHC,NHC,NHC-NHC
33_33,Ag,8.85288225114346,1880,33,33,NHC,NHC,NHC-NHC
34_34,Ag,15.6707,1938,34,34,NHC,NHC,NHC-NHC
35_35,Ag,24.6706274822354,1995,35,35,NHC,NHC,NHC-NHC
36_36,Ag,1.13979822769761,2051,36,36,NHC,NHC,NHC-NHC
37_37,Ag,11.599,2106,37,37,NHC,NHC,NHC-NHC
38_38,Ag,14.99,2160,38,38,NHC,NHC,NHC-NHC
39_39,Ag,7.15756,2213,39,39,NHC,NHC,NHC-NHC
40_40,Ag,7.04128,2353,40,40,NHC,NHC,NHC-NHC
41_41,Ag,9.09025862812996,2404,41,41,NHC,NHC,NHC-NHC
42_42,Ag,4.29775726050139,2454,42,42,NHC,NHC,NHC-NHC
43_43,Ag,6.08374007791281,2503,43,43,NHC,NHC,NHC-NHC
44_44,Ag,5.34433101117611,2551,44,44,NHC,NHC,NHC-NHC
45_45,Ag,9.18995968997479,2598,45,45,NHC,NHC,NHC-NHC
46_46,Ag,11.9076482094824,2644,46,46,NHC,NHC,NHC-NHC
47_47,Ag,8.76808004081249,2689,47,47,NHC,NHC,NHC-NHC
48_48,Ag,9.45022,2733,48,48,NHC,NHC,NHC-NHC
49_49,Ag,11.2325,2776,49,49,NHC,NHC,NHC-NHC
76_76,Ag,26.8028989955783,3817,76,76,NHC,NHC,NHC-NHC
77_77,Ag,26.6558983027935,3832,77,77,NHC,NHC,NHC-NHC
78_78,Ag,31.6590011455119,3846,78,78,NHC,NHC,NHC-NHC
32_32,Au,0.12,6007,32,32,NHC,NHC,NHC-NHC
33_33,Au,-1.97,6066,33,33,NHC,NHC,NHC-NHC
34_34,Au,2.21813,6124,34,34,NHC,NHC,NHC-NHC
35_35,Au,15.17,6181,35,35,NHC,NHC,NHC-NHC
36_36,Au,-4.23282,6237,36,36,NHC,NHC,NHC-NHC
37_37,Au,0.0498516149818897,6292,37,37,NHC,NHC,NHC-NHC
38_38,Au,-0.92,6346,38,38,NHC,NHC,NHC-NHC
39_39,Au,-4.72442,6399,39,39,NHC,NHC,NHC-NHC
40_40,Au,-7.19878,6539,40,40,NHC,NHC,NHC-NHC
41_41,Au,-1.28,6590,41,41,NHC,NHC,NHC-NHC
42_42,Au,-6.02713,6640,42,42,NHC,NHC,NHC-NHC
43_43,Au,2.634,6689,43,43,NHC,NHC,NHC-NHC
44_44,Au,0.289586,6737,44,44,NHC,NHC,NHC-NHC
45_45,Au,-2.62,6784,45,45,NHC,NHC,NHC-NHC
46_46,Au,-2.09147977828979,6830,46,46,NHC,NHC,NHC-NHC
47_47,Au,-1.45912,6875,47,47,NHC,NHC,NHC-NHC
48_48,Au,-5.62171,6919,48,48,NHC,NHC,NHC-NHC
49_49,Au,-3.3,6962,49,49,NHC,NHC,NHC-NHC
