Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
32_67,Ag,19.7321787253022,1856,32,67,NHC,Other,NHC-Other
32_68,Ag,20.73,1857,32,68,NHC,Other,NHC-Other
32_69,Ag,16.1980723366141,1858,32,69,NHC,Other,NHC-Other
32_70,Ag,13.6382003687322,1859,32,70,NHC,Other,NHC-Other
32_71,Ag,29.5611256584525,1860,32,71,NHC,Other,NHC-Other
32_79,Ag,22.056178547442,1868,32,79,NHC,Other,NHC-Other
32_80,Ag,22.9876958280802,1869,32,80,NHC,Other,NHC-Other
32_85,Ag,9.49655659496784,1874,32,85,NHC,Other,NHC-Other
32_86,Ag,11.0673060268164,1875,32,86,NHC,Other,NHC-Other
32_87,Ag,9.77313822135329,1876,32,87,NHC,Other,NHC-Other
32_88,Ag,13.5473932512105,1877,32,88,NHC,Other,NHC-Other
32_89,Ag,14.5467834770679,1878,32,89,NHC,Other,NHC-Other
32_90,Ag,24.3538118042052,1879,32,90,NHC,Other,NHC-Other
33_67,Ag,21.56,1914,33,67,NHC,Other,NHC-Other
33_68,Ag,17.5704955682158,1915,33,68,NHC,Other,NHC-Other
33_69,Ag,16.2988602817059,1916,33,69,NHC,Other,NHC-Other
33_70,Ag,12.185475025326,1917,33,70,NHC,Other,NHC-Other
33_71,Ag,33.8145962171257,1918,33,71,NHC,Other,NHC-Other
33_79,Ag,18.7183893695474,1926,33,79,NHC,Other,NHC-Other
33_80,Ag,18.8115749806166,1927,33,80,NHC,Other,NHC-Other
33_85,Ag,10.8617635108531,1932,33,85,NHC,Other,NHC-Other
33_86,Ag,11.2296600863338,1933,33,86,NHC,Other,NHC-Other
33_87,Ag,11.4020541682839,1934,33,87,NHC,Other,NHC-Other
33_88,Ag,13.4707437083125,1935,33,88,NHC,Other,NHC-Other
33_89,Ag,7.52119186520577,1936,33,89,NHC,Other,NHC-Other
33_90,Ag,24.4902835153043,1937,33,90,NHC,Other,NHC-Other
34_67,Ag,16.7436525560915,1971,34,67,NHC,Other,NHC-Other
34_68,Ag,14.6407372280955,1972,34,68,NHC,Other,NHC-Other
34_69,Ag,17.6087133735418,1973,34,69,NHC,Other,NHC-Other
34_70,Ag,12.8429739102721,1974,34,70,NHC,Other,NHC-Other
34_71,Ag,31.0551729612052,1975,34,71,NHC,Other,NHC-Other
34_79,Ag,18.5278896726668,1983,34,79,NHC,Other,NHC-Other
