Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
32_50,Ag,16.7163750454783,1839,32,50,NHC,Py,NHC-Py
32_51,Ag,18.2062063440681,1840,32,51,NHC,Py,NHC-Py
32_52,Ag,17.6356297433376,1841,32,52,NHC,Py,NHC-Py
32_53,Ag,17.3429436720908,1842,32,53,NHC,Py,NHC-Py
32_54,Ag,19.6372847706079,1843,32,54,NHC,Py,NHC-Py
32_55,Ag,18.7793150134385,1844,32,55,NHC,Py,NHC-Py
32_56,Ag,18.1136628091335,1845,32,56,NHC,Py,NHC-Py
32_57,Ag,17.8597202338278,1846,32,57,NHC,Py,NHC-Py
32_58,Ag,19.67,1847,32,58,NHC,Py,NHC-Py
32_59,Ag,16.3211884126067,1848,32,59,NHC,Py,NHC-Py
32_60,Ag,17.129241604358,1849,32,60,NHC,Py,NHC-Py
32_61,Ag,20.18,1850,32,61,NHC,Py,NHC-Py
32_62,Ag,16.6480635181069,1851,32,62,NHC,Py,NHC-Py
32_63,Ag,16.49615688622,1852,32,63,NHC,Py,NHC-Py
32_64,Ag,14.8768973574042,1853,32,64,NHC,Py,NHC-Py
32_65,Ag,18.47,1854,32,65,NHC,Py,NHC-Py
32_66,Ag,20.7911090813577,1855,32,66,NHC,Py,NHC-Py
33_50,Ag,18.056226156652,1897,33,50,NHC,Py,NHC-Py
33_51,Ag,17.7924237139523,1898,33,51,NHC,Py,NHC-Py
33_52,Ag,15.8046577870846,1899,33,52,NHC,Py,NHC-Py
33_53,Ag,16.7031437829137,1900,33,53,NHC,Py,NHC-Py
33_54,Ag,17.9711266979575,1901,33,54,NHC,Py,NHC-Py
33_55,Ag,17.4923152737319,1902,33,55,NHC,Py,NHC-Py
33_56,Ag,17.1331293731928,1903,33,56,NHC,Py,NHC-Py
33_57,Ag,17.4013526551425,1904,33,57,NHC,Py,NHC-Py
33_58,Ag,17.5383448079228,1905,33,58,NHC,Py,NHC-Py
33_59,Ag,16.4553687795997,1906,33,59,NHC,Py,NHC-Py
