Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
67_67,Ag,43.9768322184682,3552,67,67,Other,Other,Other-Other
68_68,Ag,34.27,3576,68,68,Other,Other,Other-Other
69_69,Ag,20.4134087115526,3599,69,69,Other,Other,Other-Other
70_70,Ag,22.1015163213015,3706,70,70,Other,Other,Other-Other
71_71,Ag,39.98,3727,71,71,Other,Other,Other-Other
79_79,Ag,31.8756104260683,3859,79,79,Other,Other,Other-Other
80_80,Ag,40.9889589473605,3955,80,80,Other,Other,Other-Other
85_85,Ag,15.2099369540811,4000,85,85,Other,Other,Other-Other
86_86,Ag,8.86661218479276,4006,86,86,Other,Other,Other-Other
87_87,Ag,13.5821322128177,4011,87,87,Other,Other,Other-Other
88_88,Ag,18.1176682636142,4015,88,88,Other,Other,Other-Other
89_89,Ag,21.2196254096925,4018,89,89,Other,Other,Other-Other
90_90,Ag,32.1778804175556,4103,90,90,Other,Other,Other-Other
67_67,Au,23.8907956443727,7738,67,67,Other,Other,Other-Other
68_68,Au,9.24,7762,68,68,Other,Other,Other-Other
69_69,Au,3.00995650887489,7785,69,69,Other,Other,Other-Other
70_70,Au,3.52097884565592,7892,70,70,Other,Other,Other-Other
71_71,Au,20.13,7913,71,71,Other,Other,Other-Other
79_79,Au,12.1876535899937,8045,79,79,Other,Other,Other-Other
80_80,Au,20.0199460238218,8141,80,80,Other,Other,Other-Other
85_85,Au,-4.13580470532179,8186,85,85,Other,Other,Other-Other
86_86,Au,-9.51677991449833,8192,86,86,Other,Other,Other-Other
87_87,Au,-6.92421831935644,8197,87,87,Other,Other,Other-Other
88_88,Au,-2.61636277288198,8201,88,88,Other,Other,Other-Other
89_89,Au,-0.452167894691229,8204,89,89,Other,Other,Other-Other
90_90,Au,12.6414265818894,8289,90,90,Other,Other,Other-Other
67_67,Cu,22.7552026733756,11924,67,67,Other,Other,Other-Other
68_68,Cu,17.53,11948,68,68,Other,Other,Other-Other
69_69,Cu,3.3459238409996,11971,69,69,Other,Other,Other-Other
70_70,Cu,-0.23,12078,70,70,Other,Other,Other-Other
71_71,Cu,23.28,12099,71,71,Other,Other,Other-Other
79_79,Cu,13.7889934591949,12231,79,79,Other,Other,Other-Other
80_80,Cu,18.3062992990017,12327,80,80,Other,Other,Other-Other
85_85,Cu,-10.5324774906039,12372,85,85,Other,Other,Other-Other
86_86,Cu,-10.120990164578,12378,86,86,Other,Other,Other-Other
87_87,Cu,-13.236415438354,12383,87,87,Other,Other,Other-Other
88_88,Cu,-0.696768723428249,12387,88,88,Other,Other,Other-Other
89_89,Cu,-4.04939080402255,12390,89,89,Other,Other,Other-Other
90_90,Cu,8.63692831993103,12475,90,90,Other,Other,Other-Other
67_67,Ni,-44.5002714246512,16110,67,67,Other,Other,Other-Other
68_68,Ni,-60.02,16134,68,68,Other,Other,Other-Other
69_69,Ni,-57.6860463358462,16157,69,69,Other,Other,Other-Other
70_70,Ni,-63.5674793869257,16264,70,70,Other,Other,Other-Other
71_71,Ni,-27.1,16285,71,71,Other,Other,Other-Other
79_79,Ni,-52.2332394830883,16417,79,79,Other,Other,Other-Other
80_80,Ni,-48.9741702750325,16513,80,80,Other,Other,Other-Other
85_85,Ni,-71.4894768744707,16558,85,85,Other,Other,Other-Other
86_86,Ni,-76.8491408377886,16564,86,86,Other,Other,Other-Other
87_87,Ni,-75.3147392421961,16569,87,87,Other,Other,Other-Other
88_88,Ni,-68.2186710238457,16573,88,88,Other,Other,Other-Other
89_89,Ni,-64.1484922617674,16576,89,89,Other,Other,Other-Other
90_90,Ni,-55.1048264205456,16661,90,90,Other,Other,Other-Other
67_67,Pd,-23.2110368609428,20296,67,67,Other,Other,Other-Other
68_68,Pd,-37.09,20320,68,68,Other,Other,Other-Other
69_69,Pd,-40.22,20343,69,69,Other,Other,Other-Other
70_70,Pd,-43.61,20450,70,70,Other,Other,Other-Other
71_71,Pd,-7.92,20471,71,71,Other,Other,Other-Other
79_79,Pd,-30.0717054903507,20603,79,79,Other,Other,Other-Other
80_80,Pd,-26.1570737622678,20699,80,80,Other,Other,Other-Other
85_85,Pd,-49.004801299423,20744,85,85,Other,Other,Other-Other
86_86,Pd,-53.9727234952152,20750,86,86,Other,Other,Other-Other
87_87,Pd,-51.6148702725768,20755,87,87,Other,Other,Other-Other
88_88,Pd,-44.3832292407751,20759,88,88,Other,Other,Other-Other
89_89,Pd,-42.8080991283059,20762,89,89,Other,Other,Other-Other
90_90,Pd,-29.7481387592852,20847,90,90,Other,Other,Other-Other
67_67,Pt,-29.1911839097738,24482,67,67,Other,Other,Other-Other
68_68,Pt,-47.92,24506,68,68,Other,Other,Other-Other
69_69,Pt,-46.6920397542417,24529,69,69,Other,Other,Other-Other
70_70,Pt,-44.3183685876429,24636,70,70,Other,Other,Other-Other
71_71,Pt,-18.23,24657,71,71,Other,Other,Other-Other
79_79,Pt,-38.7478790432215,24789,79,79,Other,Other,Other-Other
80_80,Pt,-32.761291757226,24885,80,80,Other,Other,Other-Other
85_85,Pt,-54.468660634011,24930,85,85,Other,Other,Other-Other
86_86,Pt,-61.2902653999627,24936,86,86,Other,Other,Other-Other
87_87,Pt,-58.3508635759354,24941,87,87,Other,Other,Other-Other
88_88,Pt,-54.9678163342178,24945,88,88,Other,Other,Other-Other
89_89,Pt,-48.0956069119275,24948,89,89,Other,Other,Other-Other
90_90,Pt,-38.1968894824386,25033,90,90,Other,Other,Other-Other
67_68,Ag,37.7193828746676,3553,67,68,Other,Other,Other-Other
67_69,Ag,22.677958086133,3554,67,69,Other,Other,Other-Other
67_70,Ag,21.1099250428378,3555,67,70,Other,Other,Other-Other
67_71,Ag,42.05967707932,3556,67,71,Other,Other,Other-Other
67_79,Ag,32.6554479300976,3564,67,79,Other,Other,Other-Other
67_80,Ag,42.4400923028588,3565,67,80,Other,Other,Other-Other
67_85,Ag,21.2220835126936,3570,67,85,Other,Other,Other-Other
67_86,Ag,16.7691463269293,3571,67,86,Other,Other,Other-Other
67_87,Ag,24.0810597389936,3572,67,87,Other,Other,Other-Other
67_88,Ag,22.2987312749028,3573,67,88,Other,Other,Other-Other
67_89,Ag,25.5086986981332,3574,67,89,Other,Other,Other-Other
67_90,Ag,32.5685541406274,3575,67,90,Other,Other,Other-Other
68_69,Ag,23.9810742549598,3577,68,69,Other,Other,Other-Other
68_70,Ag,27.39,3578,68,70,Other,Other,Other-Other
68_71,Ag,37.95,3579,68,71,Other,Other,Other-Other
68_79,Ag,35.4542941488326,3587,68,79,Other,Other,Other-Other
68_80,Ag,35.4407295994461,3588,68,80,Other,Other,Other-Other
68_85,Ag,18.7201720476151,3593,68,85,Other,Other,Other-Other
68_86,Ag,18.2315007410944,3594,68,86,Other,Other,Other-Other
68_87,Ag,20.1001313477755,3595,68,87,Other,Other,Other-Other
68_88,Ag,25.2255205884576,3596,68,88,Other,Other,Other-Other
68_89,Ag,19.5828149877489,3597,68,89,Other,Other,Other-Other
68_90,Ag,36.6908814944327,3598,68,90,Other,Other,Other-Other
69_70,Ag,22.5126329362392,3600,69,70,Other,Other,Other-Other
69_71,Ag,35.7956513911486,3601,69,71,Other,Other,Other-Other
69_79,Ag,22.6986103914678,3609,69,79,Other,Other,Other-Other
69_80,Ag,25.3239976093173,3610,69,80,Other,Other,Other-Other
69_85,Ag,15.7319081202149,3615,69,85,Other,Other,Other-Other
69_86,Ag,10.9057119265199,3616,69,86,Other,Other,Other-Other
69_87,Ag,10.9366799890995,3617,69,87,Other,Other,Other-Other
69_88,Ag,18.4612884558737,3618,69,88,Other,Other,Other-Other
69_89,Ag,22.4044305160642,3619,69,89,Other,Other,Other-Other
69_90,Ag,28.8611852116883,3620,69,90,Other,Other,Other-Other
70_71,Ag,32.3945,3707,70,71,Other,Other,Other-Other
70_79,Ag,22.8865047469735,3715,70,79,Other,Other,Other-Other
70_80,Ag,29.2039389386773,3716,70,80,Other,Other,Other-Other
