Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
0_32,Ag,33.7646174281836,26,0,32,P,NHC,P-NHC
0_33,Ag,30.1831830367446,27,0,33,P,NHC,P-NHC
0_34,Ag,27.5704026184976,28,0,34,P,NHC,P-NHC
0_35,Ag,30.8770146816969,29,0,35,P,NHC,P-NHC
0_36,Ag,27.8821641430259,30,0,36,P,NHC,P-NHC
0_37,Ag,23.703156016767,31,0,37,P,NHC,P-NHC
0_38,Ag,31.1182791441679,32,0,38,P,NHC,P-NHC
0_39,Ag,26.6961377933621,33,0,39,P,NHC,P-NHC
0_40,Ag,26.8041964247823,35,0,40,P,NHC,P-NHC
0_41,Ag,23.7121348530054,36,0,41,P,NHC,P-NHC
0_42,Ag,20.5699,37,0,42,P,NHC,P-NHC
0_43,Ag,19.72,38,0,43,P,NHC,P-NHC
0_44,Ag,20.33,39,0,44,P,NHC,P-NHC
0_45,Ag,25.1857724562287,40,0,45,P,NHC,P-NHC
0_46,Ag,19.8564300723374,41,0,46,P,NHC,P-NHC
0_47,Ag,24.95,42,0,47,P,NHC,P-NHC
0_48,Ag,30.6895390041173,43,0,48,P,NHC,P-NHC
0_49,Ag,29.3020934909582,44,0,49,P,NHC,P-NHC
0_76,Ag,16.4741607792676,74,0,76,P,NHC,P-NHC
0_77,Ag,12.9308391958475,75,0,77,P,NHC,P-NHC
0_78,Ag,45.0806700438261,76,0,78,P,NHC,P-NHC
10_32,Ag,12.61,113,10,32,P,NHC,P-NHC
10_33,Ag,14.88,114,10,33,P,NHC,P-NHC
10_34,Ag,14.58,115,10,34,P,NHC,P-NHC
10_35,Ag,15.75,116,10,35,P,NHC,P-NHC
10_36,Ag,8.23295122385025,117,10,36,P,NHC,P-NHC
10_37,Ag,12.0625939182937,118,10,37,P,NHC,P-NHC
10_38,Ag,9.62588284164667,119,10,38,P,NHC,P-NHC
10_39,Ag,11.07,120,10,39,P,NHC,P-NHC
10_40,Ag,13.0989779904485,121,10,40,P,NHC,P-NHC
10_41,Ag,9.46458838507533,122,10,41,P,NHC,P-NHC
10_42,Ag,11.6505394801497,123,10,42,P,NHC,P-NHC
10_43,Ag,13.5,124,10,43,P,NHC,P-NHC
10_44,Ag,11.82,125,10,44,P,NHC,P-NHC
10_45,Ag,13.04,126,10,45,P,NHC,P-NHC
10_46,Ag,13.85,127,10,46,P,NHC,P-NHC
10_47,Ag,11.0155149698257,128,10,47,P,NHC,P-NHC
10_48,Ag,11.35,129,10,48,P,NHC,P-NHC
10_49,Ag,13.21,130,10,49,P,NHC,P-NHC
10_76,Ag,20.873103838414,157,10,76,P,NHC,P-NHC
10_77,Ag,19.2320549637079,158,10,77,P,NHC,P-NHC
10_78,Ag,24.9184145890176,159,10,78,P,NHC,P-NHC
11_32,Ag,14.04,193,11,32,P,NHC,P-NHC
11_33,Ag,11.63,194,11,33,P,NHC,P-NHC
11_34,Ag,13.44,195,11,34,P,NHC,P-NHC
11_35,Ag,16.15,196,11,35,P,NHC,P-NHC
11_36,Ag,8.08653602749109,197,11,36,P,NHC,P-NHC
11_37,Ag,17.2708676271141,198,11,37,P,NHC,P-NHC
11_38,Ag,12.83,199,11,38,P,NHC,P-NHC
11_39,Ag,11.2171067222953,200,11,39,P,NHC,P-NHC
11_40,Ag,11.2976468130946,201,11,40,P,NHC,P-NHC
11_41,Ag,12.5763,202,11,41,P,NHC,P-NHC
11_42,Ag,11.74,203,11,42,P,NHC,P-NHC
11_43,Ag,15.87,204,11,43,P,NHC,P-NHC
11_44,Ag,15.82,205,11,44,P,NHC,P-NHC
11_45,Ag,16.487449940294,206,11,45,P,NHC,P-NHC
11_46,Ag,10.61,207,11,46,P,NHC,P-NHC
11_47,Ag,16.273900680244,208,11,47,P,NHC,P-NHC
11_48,Ag,11.92,209,11,48,P,NHC,P-NHC
11_49,Ag,14.11,210,11,49,P,NHC,P-NHC
11_76,Ag,20.3153300844133,237,11,76,P,NHC,P-NHC
11_77,Ag,24.2724260352552,238,11,77,P,NHC,P-NHC
11_78,Ag,26.6717183440924,239,11,78,P,NHC,P-NHC
12_32,Ag,14.52,272,12,32,P,NHC,P-NHC
12_33,Ag,11.26,273,12,33,P,NHC,P-NHC
12_34,Ag,12.65,274,12,34,P,NHC,P-NHC
12_35,Ag,18.89,275,12,35,P,NHC,P-NHC
12_36,Ag,10.3,276,12,36,P,NHC,P-NHC
12_37,Ag,14.2308673411608,277,12,37,P,NHC,P-NHC
12_38,Ag,12.72,278,12,38,P,NHC,P-NHC
12_39,Ag,10.08,279,12,39,P,NHC,P-NHC
12_40,Ag,10.07,280,12,40,P,NHC,P-NHC
12_41,Ag,16.4372,281,12,41,P,NHC,P-NHC
12_42,Ag,11.87,282,12,42,P,NHC,P-NHC
12_43,Ag,16.291722599417,283,12,43,P,NHC,P-NHC
12_44,Ag,15.86,284,12,44,P,NHC,P-NHC
12_45,Ag,11.56,285,12,45,P,NHC,P-NHC
12_46,Ag,14.09,286,12,46,P,NHC,P-NHC
12_47,Ag,10.79,287,12,47,P,NHC,P-NHC
12_48,Ag,13.64,288,12,48,P,NHC,P-NHC
12_49,Ag,13.025275554508,289,12,49,P,NHC,P-NHC
12_76,Ag,17.4766086861491,316,12,76,P,NHC,P-NHC
12_77,Ag,22.5275195464492,317,12,77,P,NHC,P-NHC
12_78,Ag,23.7075289487839,318,12,78,P,NHC,P-NHC
13_32,Ag,12.55,350,13,32,P,NHC,P-NHC
13_33,Ag,12.39,351,13,33,P,NHC,P-NHC
13_34,Ag,12.89,352,13,34,P,NHC,P-NHC
13_35,Ag,16.86,353,13,35,P,NHC,P-NHC
13_36,Ag,6.28984942287207,354,13,36,P,NHC,P-NHC
13_37,Ag,13.6679995954037,355,13,37,P,NHC,P-NHC
13_38,Ag,11.26,356,13,38,P,NHC,P-NHC
13_39,Ag,9.85556073114276,357,13,39,P,NHC,P-NHC
13_40,Ag,10.0005296319723,358,13,40,P,NHC,P-NHC
13_41,Ag,12.4337,359,13,41,P,NHC,P-NHC
13_42,Ag,8.44,360,13,42,P,NHC,P-NHC
13_43,Ag,14.76,361,13,43,P,NHC,P-NHC
13_44,Ag,12.97,362,13,44,P,NHC,P-NHC
13_45,Ag,11.8962610512972,363,13,45,P,NHC,P-NHC
13_46,Ag,18.2573065087199,364,13,46,P,NHC,P-NHC
13_47,Ag,11.4516492672265,365,13,47,P,NHC,P-NHC
13_48,Ag,11.54,366,13,48,P,NHC,P-NHC
13_49,Ag,15.21,367,13,49,P,NHC,P-NHC
13_76,Ag,19.0641271397471,394,13,76,P,NHC,P-NHC
13_77,Ag,17.6820183768868,395,13,77,P,NHC,P-NHC
13_78,Ag,23.8553698398173,396,13,78,P,NHC,P-NHC
14_32,Ag,14.5,427,14,32,P,NHC,P-NHC
14_33,Ag,8.52,428,14,33,P,NHC,P-NHC
