Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
0_67,Ag,44.5076160654426,64,0,67,P,Other,P-Other
0_68,Ag,43.9421932511032,65,0,68,P,Other,P-Other
0_69,Ag,38.5376006923616,66,0,69,P,Other,P-Other
0_70,Ag,27.1377,68,0,70,P,Other,P-Other
0_71,Ag,48.9204180054367,69,0,71,P,Other,P-Other
0_79,Ag,41.2451863586903,77,0,79,P,Other,P-Other
0_80,Ag,41.5045180395246,79,0,80,P,Other,P-Other
0_85,Ag,32.4141050465405,84,0,85,P,Other,P-Other
0_86,Ag,33.0656077899039,85,0,86,P,Other,P-Other
0_87,Ag,34.4416924715042,86,0,87,P,Other,P-Other
0_88,Ag,37.4128444418311,87,0,88,P,Other,P-Other
0_89,Ag,39.5449404343963,88,0,89,P,Other,P-Other
0_90,Ag,43.8957267738879,90,0,90,P,Other,P-Other
10_67,Ag,19.0931297577918,148,10,67,P,Other,P-Other
10_68,Ag,21.112420860678,149,10,68,P,Other,P-Other
10_69,Ag,21.7097343355417,150,10,69,P,Other,P-Other
10_70,Ag,12.2672,151,10,70,P,Other,P-Other
10_71,Ag,28.6484814360738,152,10,71,P,Other,P-Other
10_79,Ag,18.8070320859551,160,10,79,P,Other,P-Other
10_80,Ag,20.9153766706586,161,10,80,P,Other,P-Other
10_85,Ag,13.0248654522002,166,10,85,P,Other,P-Other
10_86,Ag,16.4788068756461,167,10,86,P,Other,P-Other
10_87,Ag,14.0809500999749,168,10,87,P,Other,P-Other
10_88,Ag,13.7345497682691,169,10,88,P,Other,P-Other
10_89,Ag,21.1896566450596,170,10,89,P,Other,P-Other
10_90,Ag,25.3655225262046,171,10,90,P,Other,P-Other
11_67,Ag,19.5366443321109,228,11,67,P,Other,P-Other
11_68,Ag,23.081132337451,229,11,68,P,Other,P-Other
11_69,Ag,22.9699663408101,230,11,69,P,Other,P-Other
11_70,Ag,14.9763,231,11,70,P,Other,P-Other
11_71,Ag,29.2573692947626,232,11,71,P,Other,P-Other
11_79,Ag,23.9350433684885,240,11,79,P,Other,P-Other
11_80,Ag,22.1749925240874,241,11,80,P,Other,P-Other
11_85,Ag,16.129304997623,246,11,85,P,Other,P-Other
11_86,Ag,12.7507902160287,247,11,86,P,Other,P-Other
11_87,Ag,13.9656608588994,248,11,87,P,Other,P-Other
11_88,Ag,15.9538513869047,249,11,88,P,Other,P-Other
11_89,Ag,19.4767368063331,250,11,89,P,Other,P-Other
11_90,Ag,28.2542414329946,251,11,90,P,Other,P-Other
12_67,Ag,18.7827171087265,307,12,67,P,Other,P-Other
12_68,Ag,23.7285817787051,308,12,68,P,Other,P-Other
12_69,Ag,22.6529517918825,309,12,69,P,Other,P-Other
12_70,Ag,16.4196,310,12,70,P,Other,P-Other
12_71,Ag,34.86798671633,311,12,71,P,Other,P-Other
12_79,Ag,21.9844054616988,319,12,79,P,Other,P-Other
12_80,Ag,22.4022528268397,320,12,80,P,Other,P-Other
12_85,Ag,14.8644676394761,325,12,85,P,Other,P-Other
12_86,Ag,9.87072344496846,326,12,86,P,Other,P-Other
12_87,Ag,15.0419280342758,327,12,87,P,Other,P-Other
12_88,Ag,13.2326440922916,328,12,88,P,Other,P-Other
12_89,Ag,17.381628498435,329,12,89,P,Other,P-Other
12_90,Ag,27.0158231854439,330,12,90,P,Other,P-Other
13_67,Ag,17.1839768104255,385,13,67,P,Other,P-Other
13_68,Ag,22.9795791208744,386,13,68,P,Other,P-Other
13_69,Ag,22.424188092351,387,13,69,P,Other,P-Other
13_70,Ag,11.5976,388,13,70,P,Other,P-Other
13_71,Ag,26.5989210754633,389,13,71,P,Other,P-Other
13_79,Ag,22.4057545624673,397,13,79,P,Other,P-Other
13_80,Ag,21.5532116405666,398,13,80,P,Other,P-Other
13_85,Ag,13.3044298961759,403,13,85,P,Other,P-Other
13_86,Ag,12.0328719727695,404,13,86,P,Other,P-Other
13_87,Ag,13.9026142433286,405,13,87,P,Other,P-Other
13_88,Ag,16.7209156863391,406,13,88,P,Other,P-Other
13_89,Ag,21.5806937329471,407,13,89,P,Other,P-Other
13_90,Ag,29.143810428679,408,13,90,P,Other,P-Other
14_67,Ag,18.2501646801829,462,14,67,P,Other,P-Other
14_68,Ag,14.94,463,14,68,P,Other,P-Other
14_69,Ag,23.4418195486069,464,14,69,P,Other,P-Other
14_70,Ag,14.9855645671487,465,14,70,P,Other,P-Other
14_71,Ag,30.7779971957207,466,14,71,P,Other,P-Other
14_79,Ag,20.9269334599376,474,14,79,P,Other,P-Other
14_80,Ag,18.7544948458672,475,14,80,P,Other,P-Other
14_85,Ag,15.6132559254766,480,14,85,P,Other,P-Other
14_86,Ag,10.1517465673387,481,14,86,P,Other,P-Other
14_87,Ag,11.5387702956796,482,14,87,P,Other,P-Other
14_88,Ag,14.7821765318513,483,14,88,P,Other,P-Other
14_89,Ag,21.8686084039509,484,14,89,P,Other,P-Other
14_90,Ag,26.7939442358911,485,14,90,P,Other,P-Other
15_67,Ag,19.89,538,15,67,P,Other,P-Other
15_68,Ag,25.91,539,15,68,P,Other,P-Other
15_69,Ag,17.8519452884793,540,15,69,P,Other,P-Other
15_70,Ag,22.649572789669,541,15,70,P,Other,P-Other
15_71,Ag,26.12,542,15,71,P,Other,P-Other
15_79,Ag,20.5423316992819,550,15,79,P,Other,P-Other
15_80,Ag,21.8529651686549,551,15,80,P,Other,P-Other
15_85,Ag,14.5560803115368,556,15,85,P,Other,P-Other
15_86,Ag,9.14515694975853,557,15,86,P,Other,P-Other
15_87,Ag,14.128892660141,558,15,87,P,Other,P-Other
15_88,Ag,16.8883150108159,559,15,88,P,Other,P-Other
15_89,Ag,21.5759936273098,560,15,89,P,Other,P-Other
15_90,Ag,34.7984088398516,561,15,90,P,Other,P-Other
16_67,Ag,27.384061910212,613,16,67,P,Other,P-Other
16_68,Ag,23.42,614,16,68,P,Other,P-Other
16_69,Ag,26.34,615,16,69,P,Other,P-Other
16_70,Ag,23.23,616,16,70,P,Other,P-Other
16_71,Ag,42.8887165114284,617,16,71,P,Other,P-Other
16_79,Ag,25.5905243605375,625,16,79,P,Other,P-Other
16_80,Ag,22.1298570260406,626,16,80,P,Other,P-Other
16_85,Ag,14.9009901359677,631,16,85,P,Other,P-Other
16_86,Ag,21.4624232798815,632,16,86,P,Other,P-Other
16_87,Ag,17.6666774079204,633,16,87,P,Other,P-Other
16_88,Ag,25.9702662527561,634,16,88,P,Other,P-Other
16_89,Ag,15.7167488411069,635,16,89,P,Other,P-Other
16_90,Ag,35.9112675487995,636,16,90,P,Other,P-Other
17_67,Ag,16.7681030221283,687,17,67,P,Other,P-Other
17_68,Ag,19.982196174562,688,17,68,P,Other,P-Other
17_69,Ag,17.855421513319,689,17,69,P,Other,P-Other
17_70,Ag,14.7211,690,17,70,P,Other,P-Other
17_71,Ag,25.401448648423,691,17,71,P,Other,P-Other
17_79,Ag,20.1713541001081,699,17,79,P,Other,P-Other
17_80,Ag,19.2792769148946,700,17,80,P,Other,P-Other
17_85,Ag,17.0386391356587,705,17,85,P,Other,P-Other
17_86,Ag,11.830998018384,706,17,86,P,Other,P-Other
17_87,Ag,9.45306814089418,707,17,87,P,Other,P-Other
17_88,Ag,10.1040937416255,708,17,88,P,Other,P-Other
17_89,Ag,19.1542784459889,709,17,89,P,Other,P-Other
17_90,Ag,27.6387068517506,710,17,90,P,Other,P-Other
18_67,Ag,26.6526811383665,760,18,67,P,Other,P-Other
18_68,Ag,31.5862601473927,761,18,68,P,Other,P-Other
18_69,Ag,29.3263249918818,762,18,69,P,Other,P-Other
18_70,Ag,28.7453061789274,763,18,70,P,Other,P-Other
18_71,Ag,30.44,764,18,71,P,Other,P-Other
18_79,Ag,30.1835198998451,772,18,79,P,Other,P-Other
18_80,Ag,29.8387503698468,773,18,80,P,Other,P-Other
18_85,Ag,19.0145283490419,778,18,85,P,Other,P-Other
18_86,Ag,18.044121760875,779,18,86,P,Other,P-Other
18_87,Ag,19.4982420057058,780,18,87,P,Other,P-Other
18_88,Ag,27.8334512710571,781,18,88,P,Other,P-Other
18_89,Ag,28.8229782283306,782,18,89,P,Other,P-Other
18_90,Ag,33.2850760817528,783,18,90,P,Other,P-Other
19_67,Ag,18.1327410489321,832,19,67,P,Other,P-Other
19_68,Ag,19.1627717390656,833,19,68,P,Other,P-Other
19_69,Ag,15.5291246250272,834,19,69,P,Other,P-Other
19_70,Ag,17.4692810364068,835,19,70,P,Other,P-Other
19_71,Ag,27.8927392289042,836,19,71,P,Other,P-Other
19_79,Ag,17.3672450892627,844,19,79,P,Other,P-Other
19_80,Ag,18.0147177129984,845,19,80,P,Other,P-Other
19_85,Ag,14.0718692317605,850,19,85,P,Other,P-Other
19_86,Ag,9.75043779984117,851,19,86,P,Other,P-Other
19_87,Ag,8.2792855463922,852,19,87,P,Other,P-Other
19_88,Ag,10.8873788751662,853,19,88,P,Other,P-Other
19_89,Ag,19.6014175415039,854,19,89,P,Other,P-Other
19_90,Ag,30.3282769434154,855,19,90,P,Other,P-Other
1_67,Ag,41.3174725100398,919,1,67,P,Other,P-Other
1_68,Ag,40.6929748281837,920,1,68,P,Other,P-Other
1_69,Ag,34.6408033631742,921,1,69,P,Other,P-Other
1_70,Ag,21.3059,923,1,70,P,Other,P-Other
1_71,Ag,47.5160028226674,924,1,71,P,Other,P-Other
1_79,Ag,37.4296006560326,932,1,79,P,Other,P-Other
