Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
0_0,Ag,31.5394,0,0,0,P,P,P-P
10_10,Ag,14.1744388900697,91,10,10,P,P,P-P
11_11,Ag,20.9892714656889,172,11,11,P,P,P-P
12_12,Ag,19.5928478874266,252,12,12,P,P,P-P
13_13,Ag,15.4244822189212,331,13,13,P,P,P-P
14_14,Ag,14.99,409,14,14,P,P,P-P
15_15,Ag,18.18,486,15,15,P,P,P-P
16_16,Ag,38.2563519068062,562,16,16,P,P,P-P
17_17,Ag,10.7057337984443,637,17,17,P,P,P-P
18_18,Ag,35.45,711,18,18,P,P,P-P
19_19,Ag,9.47715998440981,784,19,19,P,P,P-P
1_1,Ag,36.4355597831309,856,1,1,P,P,P-P
20_20,Ag,22.0983571559191,946,20,20,P,P,P-P
21_21,Ag,15.1798027716577,1017,21,21,P,P,P-P
22_22,Ag,48.1,1087,22,22,P,P,P-P
23_23,Ag,25.7244284339249,1156,23,23,P,P,P-P
24_24,Ag,13.533865198493,1224,24,24,P,P,P-P
25_25,Ag,18.687584426254,1291,25,25,P,P,P-P
26_26,Ag,17.0743048451841,1357,26,26,P,P,P-P
27_27,Ag,12.1752809695899,1422,27,27,P,P,P-P
28_28,Ag,31.5981501452625,1486,28,28,P,P,P-P
29_29,Ag,14.6167793497443,1549,29,29,P,P,P-P
2_2,Ag,10.65,1621,2,2,P,P,P-P
30_30,Ag,30.46,1700,30,30,P,P,P-P
31_31,Ag,23.4269325397909,1761,31,31,P,P,P-P
3_3,Ag,16.4,2285,3,3,P,P,P-P
4_4,Ag,35.2559888288379,2848,4,4,P,P,P-P
5_5,Ag,17.4991031289101,3310,5,5,P,P,P-P
6_6,Ag,13.7499704360962,3671,6,6,P,P,P-P
72_72,Ag,14.7080978564918,3747,72,72,P,P,P-P
73_73,Ag,22.2316628471017,3766,73,73,P,P,P-P
74_74,Ag,15.9593160003424,3784,74,74,P,P,P-P
75_75,Ag,16.6676488183439,3801,75,75,P,P,P-P
7_7,Ag,7.92382387444377,3931,7,7,P,P,P-P
81_81,Ag,19.3465796113014,3966,81,81,P,P,P-P
82_82,Ag,14.3167693205178,3976,82,82,P,P,P-P
83_83,Ag,12.2063790932298,3985,83,83,P,P,P-P
84_84,Ag,29.6629734411836,3993,84,84,P,P,P-P
8_8,Ag,57.92,4090,8,8,P,P,P-P
9_9,Ag,9.44,4184,9,9,P,P,P-P
0_0,Au,17.5553494691849,4186,0,0,P,P,P-P
10_10,Au,-0.59,4277,10,10,P,P,P-P
11_11,Au,-1.42,4358,11,11,P,P,P-P
12_12,Au,3.00201017409563,4438,12,12,P,P,P-P
13_13,Au,1.76884922757745,4517,13,13,P,P,P-P
14_14,Au,1.76,4595,14,14,P,P,P-P
15_15,Au,6.81,4672,15,15,P,P,P-P
16_16,Au,26.2685615904629,4748,16,16,P,P,P-P
17_17,Au,-2.19278,4823,17,17,P,P,P-P
18_18,Au,23.6262172423303,4897,18,18,P,P,P-P
19_19,Au,-3.57,4970,19,19,P,P,P-P
1_1,Au,12.5433043949306,5042,1,1,P,P,P-P
20_20,Au,4.47330740094185,5132,20,20,P,P,P-P
21_21,Au,6.55,5203,21,21,P,P,P-P
22_22,Au,31.7931640669703,5273,22,22,P,P,P-P
23_23,Au,11.726125959307,5342,23,23,P,P,P-P
24_24,Au,1.11,5410,24,24,P,P,P-P
25_25,Au,5.64769988879561,5477,25,25,P,P,P-P
26_26,Au,0.28,5543,26,26,P,P,P-P
27_27,Au,-0.195877,5608,27,27,P,P,P-P
28_28,Au,12.9965281561017,5672,28,28,P,P,P-P
29_29,Au,-1.43313,5735,29,29,P,P,P-P
2_2,Au,-2.42,5807,2,2,P,P,P-P
30_30,Au,16.6484437510371,5886,30,30,P,P,P-P
31_31,Au,10.0012954249978,5947,31,31,P,P,P-P
3_3,Au,3.00811886787414,6471,3,3,P,P,P-P
4_4,Au,32.66,7034,4,4,P,P,P-P
5_5,Au,3.19726883247495,7496,5,5,P,P,P-P
6_6,Au,-0.08,7857,6,6,P,P,P-P
72_72,Au,-2.12064110860229,7933,72,72,P,P,P-P
73_73,Au,14.3988686874509,7952,73,73,P,P,P-P
74_74,Au,2.95597387477756,7970,74,74,P,P,P-P
75_75,Au,1.95215667784214,7987,75,75,P,P,P-P
7_7,Au,2.60796719044447,8117,7,7,P,P,P-P
81_81,Au,6.72895923256874,8152,81,81,P,P,P-P
82_82,Au,4.61211254447699,8162,82,82,P,P,P-P
83_83,Au,2.51952216774225,8171,83,83,P,P,P-P
84_84,Au,23.9401381127536,8179,84,84,P,P,P-P
8_8,Au,33.4261568672955,8276,8,8,P,P,P-P
9_9,Au,2.43,8370,9,9,P,P,P-P
0_0,Cu,17.32,8372,0,0,P,P,P-P
10_10,Cu,-12.5347143150866,8463,10,10,P,P,P-P
11_11,Cu,4.18,8544,11,11,P,P,P-P
12_12,Cu,-7.19011899456382,8624,12,12,P,P,P-P
13_13,Cu,-16.01,8703,13,13,P,P,P-P
14_14,Cu,-10.87,8781,14,14,P,P,P-P
15_15,Cu,2.54,8858,15,15,P,P,P-P
16_16,Cu,17.6182835400105,8934,16,16,P,P,P-P
17_17,Cu,-11.2398,9009,17,17,P,P,P-P
18_18,Cu,9.82921509444714,9083,18,18,P,P,P-P
19_19,Cu,-17.16,9156,19,19,P,P,P-P
1_1,Cu,11.8869000300765,9228,1,1,P,P,P-P
20_20,Cu,-5.12792045623064,9318,20,20,P,P,P-P
21_21,Cu,-16.08,9389,21,21,P,P,P-P
22_22,Cu,24.8168667703867,9459,22,22,P,P,P-P
23_23,Cu,8.19627710059285,9528,23,23,P,P,P-P
24_24,Cu,-8.02,9596,24,24,P,P,P-P
25_25,Cu,-7.70662304013968,9663,25,25,P,P,P-P
26_26,Cu,2.98,9729,26,26,P,P,P-P
27_27,Cu,-15.22,9794,27,27,P,P,P-P
28_28,Cu,13.8087558746338,9858,28,28,P,P,P-P
29_29,Cu,-11.2244948446751,9921,29,29,P,P,P-P
2_2,Cu,-6.14,9993,2,2,P,P,P-P
30_30,Cu,3.08720103278756,10072,30,30,P,P,P-P
