Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
0_50,Ag,42.4296528324485,46,0,50,P,Py,P-Py
0_51,Ag,42.2710100449622,47,0,51,P,Py,P-Py
0_52,Ag,42.6201645508409,48,0,52,P,Py,P-Py
0_53,Ag,42.1115071736276,49,0,53,P,Py,P-Py
0_54,Ag,43.7571820951998,50,0,54,P,Py,P-Py
0_55,Ag,43.5043090060353,51,0,55,P,Py,P-Py
0_56,Ag,42.1494877561927,52,0,56,P,Py,P-Py
0_57,Ag,41.9100857302547,53,0,57,P,Py,P-Py
0_58,Ag,43.6425047963858,54,0,58,P,Py,P-Py
0_59,Ag,42.4088818393648,55,0,59,P,Py,P-Py
0_60,Ag,40.9340161494911,57,0,60,P,Py,P-Py
0_61,Ag,42.1980184279382,58,0,61,P,Py,P-Py
0_62,Ag,42.7607195228338,59,0,62,P,Py,P-Py
0_63,Ag,41.5754223689437,60,0,63,P,Py,P-Py
0_64,Ag,38.9664853960276,61,0,64,P,Py,P-Py
0_65,Ag,40.1774527393282,62,0,65,P,Py,P-Py
0_66,Ag,43.8725203163922,63,0,66,P,Py,P-Py
10_50,Ag,20.5602149143815,131,10,50,P,Py,P-Py
10_51,Ag,18.2529371082783,132,10,51,P,Py,P-Py
10_52,Ag,18.5735510587692,133,10,52,P,Py,P-Py
10_53,Ag,19.6550445370376,134,10,53,P,Py,P-Py
10_54,Ag,18.0044848658144,135,10,54,P,Py,P-Py
10_55,Ag,18.5880658999085,136,10,55,P,Py,P-Py
10_56,Ag,19.9068679176271,137,10,56,P,Py,P-Py
10_57,Ag,21.9021587707102,138,10,57,P,Py,P-Py
10_58,Ag,18.7342638708651,139,10,58,P,Py,P-Py
10_59,Ag,19.0434519276023,140,10,59,P,Py,P-Py
10_60,Ag,14.0680883973837,141,10,60,P,Py,P-Py
10_61,Ag,17.2154593504965,142,10,61,P,Py,P-Py
10_62,Ag,16.2068697847426,143,10,62,P,Py,P-Py
10_63,Ag,19.3017180003226,144,10,63,P,Py,P-Py
10_64,Ag,17.9286817163229,145,10,64,P,Py,P-Py
10_65,Ag,18.8801623731852,146,10,65,P,Py,P-Py
10_66,Ag,20.8150781132281,147,10,66,P,Py,P-Py
11_50,Ag,21.1813932880759,211,11,50,P,Py,P-Py
11_51,Ag,22.6938637830317,212,11,51,P,Py,P-Py
11_52,Ag,19.863766990602,213,11,52,P,Py,P-Py
11_53,Ag,22.5903793014586,214,11,53,P,Py,P-Py
11_54,Ag,22.8352537639439,215,11,54,P,Py,P-Py
11_55,Ag,21.004809435457,216,11,55,P,Py,P-Py
11_56,Ag,22.3032769337296,217,11,56,P,Py,P-Py
11_57,Ag,22.5831929668784,218,11,57,P,Py,P-Py
11_58,Ag,23.2312594801188,219,11,58,P,Py,P-Py
11_59,Ag,21.763674043119,220,11,59,P,Py,P-Py
11_60,Ag,20.3412751555443,221,11,60,P,Py,P-Py
11_61,Ag,20.5439434833825,222,11,61,P,Py,P-Py
11_62,Ag,21.7050132155418,223,11,62,P,Py,P-Py
11_63,Ag,21.1549722291529,224,11,63,P,Py,P-Py
11_64,Ag,20.5170105136931,225,11,64,P,Py,P-Py
11_65,Ag,22.5619828775525,226,11,65,P,Py,P-Py
11_66,Ag,19.8030876591802,227,11,66,P,Py,P-Py
12_50,Ag,24.4569411128759,290,12,50,P,Py,P-Py
12_51,Ag,22.3518186472356,291,12,51,P,Py,P-Py
12_52,Ag,20.3389667570591,292,12,52,P,Py,P-Py
12_53,Ag,22.2333615235984,293,12,53,P,Py,P-Py
12_54,Ag,22.5788761302829,294,12,54,P,Py,P-Py
12_55,Ag,22.0418487563729,295,12,55,P,Py,P-Py
12_56,Ag,20.2673575617373,296,12,56,P,Py,P-Py
12_57,Ag,21.4084553457797,297,12,57,P,Py,P-Py
12_58,Ag,22.4259690567851,298,12,58,P,Py,P-Py
12_59,Ag,23.8090188987553,299,12,59,P,Py,P-Py
12_60,Ag,20.3313648588955,300,12,60,P,Py,P-Py
12_61,Ag,20.060763835907,301,12,61,P,Py,P-Py
12_62,Ag,22.4592824243009,302,12,62,P,Py,P-Py
12_63,Ag,23.3865406289697,303,12,63,P,Py,P-Py
12_64,Ag,21.9940417446196,304,12,64,P,Py,P-Py
12_65,Ag,21.1632474213839,305,12,65,P,Py,P-Py
12_66,Ag,23.6202285662293,306,12,66,P,Py,P-Py
13_50,Ag,21.9656811505556,368,13,50,P,Py,P-Py
13_51,Ag,22.1573496349156,369,13,51,P,Py,P-Py
13_52,Ag,19.7258383966982,370,13,52,P,Py,P-Py
13_53,Ag,19.3352441415191,371,13,53,P,Py,P-Py
13_54,Ag,19.5310405828059,372,13,54,P,Py,P-Py
13_55,Ag,21.3907718770206,373,13,55,P,Py,P-Py
13_56,Ag,20.6938779167831,374,13,56,P,Py,P-Py
13_57,Ag,21.7103865481913,375,13,57,P,Py,P-Py
13_58,Ag,20.1757289245725,376,13,58,P,Py,P-Py
13_59,Ag,20.6169942878187,377,13,59,P,Py,P-Py
13_60,Ag,17.4187356010079,378,13,60,P,Py,P-Py
13_61,Ag,21.0809129290283,379,13,61,P,Py,P-Py
13_62,Ag,20.451965238899,380,13,62,P,Py,P-Py
13_63,Ag,20.6512692943215,381,13,63,P,Py,P-Py
13_64,Ag,19.3044785745442,382,13,64,P,Py,P-Py
13_65,Ag,20.2665686048567,383,13,65,P,Py,P-Py
13_66,Ag,19.8255576826632,384,13,66,P,Py,P-Py
14_50,Ag,18.68,445,14,50,P,Py,P-Py
14_51,Ag,15.9497923031449,446,14,51,P,Py,P-Py
14_52,Ag,19.7294366024435,447,14,52,P,Py,P-Py
14_53,Ag,20.05451939255,448,14,53,P,Py,P-Py
14_54,Ag,15.4978760369122,449,14,54,P,Py,P-Py
14_55,Ag,20.1599931567907,450,14,55,P,Py,P-Py
14_56,Ag,20.8074633590877,451,14,56,P,Py,P-Py
14_57,Ag,22.0603399500251,452,14,57,P,Py,P-Py
14_58,Ag,14.04,453,14,58,P,Py,P-Py
14_59,Ag,18.5845061950386,454,14,59,P,Py,P-Py
14_60,Ag,16.8182530403137,455,14,60,P,Py,P-Py
14_61,Ag,18.61,456,14,61,P,Py,P-Py
14_62,Ag,21.7972317524254,457,14,62,P,Py,P-Py
14_63,Ag,20.7485258877277,458,14,63,P,Py,P-Py
14_64,Ag,20.669124815613,459,14,64,P,Py,P-Py
14_65,Ag,19.310137283057,460,14,65,P,Py,P-Py
14_66,Ag,14.0446575731039,461,14,66,P,Py,P-Py
15_50,Ag,22.4,521,15,50,P,Py,P-Py
15_51,Ag,24.8238072991371,522,15,51,P,Py,P-Py
15_52,Ag,22.5289026200771,523,15,52,P,Py,P-Py
15_53,Ag,26.4730329699814,524,15,53,P,Py,P-Py
15_54,Ag,30.8665217645466,525,15,54,P,Py,P-Py
15_55,Ag,25.4755584411323,526,15,55,P,Py,P-Py
15_56,Ag,22.5462514422834,527,15,56,P,Py,P-Py
15_57,Ag,24.6728927455842,528,15,57,P,Py,P-Py
15_58,Ag,16.14,529,15,58,P,Py,P-Py
15_59,Ag,26.5472887046635,530,15,59,P,Py,P-Py
15_60,Ag,21.7632000073791,531,15,60,P,Py,P-Py
15_61,Ag,18.96,532,15,61,P,Py,P-Py
15_62,Ag,22.845482096076,533,15,62,P,Py,P-Py
15_63,Ag,24.3396590128541,534,15,63,P,Py,P-Py
15_64,Ag,21.9825716465712,535,15,64,P,Py,P-Py
15_65,Ag,23.2408576458692,536,15,65,P,Py,P-Py
15_66,Ag,16.1132064089179,537,15,66,P,Py,P-Py
16_50,Ag,27.8108582980931,596,16,50,P,Py,P-Py
16_51,Ag,26.25,597,16,51,P,Py,P-Py
16_52,Ag,22.9,598,16,52,P,Py,P-Py
16_53,Ag,25.08,599,16,53,P,Py,P-Py
16_54,Ag,24.26,600,16,54,P,Py,P-Py
16_55,Ag,24.44,601,16,55,P,Py,P-Py
16_56,Ag,29.4981181882322,602,16,56,P,Py,P-Py
16_57,Ag,24.1169722601771,603,16,57,P,Py,P-Py
16_58,Ag,25.58,604,16,58,P,Py,P-Py
16_59,Ag,33.3784988932312,605,16,59,P,Py,P-Py
16_60,Ag,26.01,606,16,60,P,Py,P-Py
16_61,Ag,24.74,607,16,61,P,Py,P-Py
16_62,Ag,25.85,608,16,62,P,Py,P-Py
16_63,Ag,24.9207121133804,609,16,63,P,Py,P-Py
16_64,Ag,25.2,610,16,64,P,Py,P-Py
16_65,Ag,25.07,611,16,65,P,Py,P-Py
16_66,Ag,25.36,612,16,66,P,Py,P-Py
17_50,Ag,17.4434948004782,670,17,50,P,Py,P-Py
17_51,Ag,16.7776707187295,671,17,51,P,Py,P-Py
17_52,Ag,17.6096868105233,672,17,52,P,Py,P-Py
17_53,Ag,17.9914255477488,673,17,53,P,Py,P-Py
17_54,Ag,13.8767722807825,674,17,54,P,Py,P-Py
17_55,Ag,17.5650344081223,675,17,55,P,Py,P-Py
17_56,Ag,17.7514403946698,676,17,56,P,Py,P-Py
17_57,Ag,16.2138850577176,677,17,57,P,Py,P-Py
17_58,Ag,16.9891643635929,678,17,58,P,Py,P-Py
17_59,Ag,16.7315850965679,679,17,59,P,Py,P-Py
17_60,Ag,16.5822763554752,680,17,60,P,Py,P-Py
17_61,Ag,16.3247671835125,681,17,61,P,Py,P-Py
17_62,Ag,18.211807332933,682,17,62,P,Py,P-Py
17_63,Ag,17.705610960722,683,17,63,P,Py,P-Py
17_64,Ag,20.9222291484475,684,17,64,P,Py,P-Py
17_65,Ag,17.0555499307811,685,17,65,P,Py,P-Py
17_66,Ag,19.5645554885268,686,17,66,P,Py,P-Py
18_50,Ag,31.9807633236051,743,18,50,P,Py,P-Py
18_51,Ag,29.9011081904173,744,18,51,P,Py,P-Py
18_52,Ag,29.7206425517797,745,18,52,P,Py,P-Py
18_53,Ag,32.7723221331835,746,18,53,P,Py,P-Py
