Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
50_67,Ag,27.3527129627764,2922,50,67,Py,Other,Py-Other
50_68,Ag,30.7,2923,50,68,Py,Other,Py-Other
50_69,Ag,24.2658640742302,2924,50,69,Py,Other,Py-Other
50_70,Ag,25.1874958500266,2925,50,70,Py,Other,Py-Other
50_71,Ag,35.46,2926,50,71,Py,Other,Py-Other
50_79,Ag,29.9298973269761,2934,50,79,Py,Other,Py-Other
50_80,Ag,27.6358048096299,2935,50,80,Py,Other,Py-Other
50_85,Ag,17.7455596402287,2940,50,85,Py,Other,Py-Other
50_86,Ag,10.8977385908365,2941,50,86,Py,Other,Py-Other
50_87,Ag,19.7715150080621,2942,50,87,Py,Other,Py-Other
50_88,Ag,23.4159723222256,2943,50,88,Py,Other,Py-Other
50_89,Ag,23.701931938529,2944,50,89,Py,Other,Py-Other
50_90,Ag,30.281848821789,2945,50,90,Py,Other,Py-Other
51_67,Ag,32.0252094529569,2962,51,67,Py,Other,Py-Other
51_68,Ag,25.9048713073134,2963,51,68,Py,Other,Py-Other
51_69,Ag,20.7834998145699,2964,51,69,Py,Other,Py-Other
51_70,Ag,21.1422735266387,2965,51,70,Py,Other,Py-Other
51_71,Ag,45.4710173234344,2966,51,71,Py,Other,Py-Other
51_79,Ag,25.3488501943648,2974,51,79,Py,Other,Py-Other
51_80,Ag,25.6866040676832,2975,51,80,Py,Other,Py-Other
51_85,Ag,15.1698848679662,2980,51,85,Py,Other,Py-Other
51_86,Ag,13.4118431173265,2981,51,86,Py,Other,Py-Other
51_87,Ag,17.3364940397441,2982,51,87,Py,Other,Py-Other
51_88,Ag,19.0577186271548,2983,51,88,Py,Other,Py-Other
51_89,Ag,20.2055109106004,2984,51,89,Py,Other,Py-Other
51_90,Ag,26.8301981389523,2985,51,90,Py,Other,Py-Other
52_67,Ag,28.7773581631482,3001,52,67,Py,Other,Py-Other
52_68,Ag,28.6911770440638,3002,52,68,Py,Other,Py-Other
52_69,Ag,24.7981444299221,3003,52,69,Py,Other,Py-Other
52_70,Ag,24.5397088564932,3004,52,70,Py,Other,Py-Other
52_71,Ag,34.16893273592,3005,52,71,Py,Other,Py-Other
52_79,Ag,27.3040483593941,3013,52,79,Py,Other,Py-Other
52_80,Ag,25.2934030778706,3014,52,80,Py,Other,Py-Other
52_85,Ag,18.5619858466089,3019,52,85,Py,Other,Py-Other
52_86,Ag,15.0023376345634,3020,52,86,Py,Other,Py-Other
52_87,Ag,24.0876502469182,3021,52,87,Py,Other,Py-Other
52_88,Ag,20.7076649814844,3022,52,88,Py,Other,Py-Other
52_89,Ag,24.606550630182,3023,52,89,Py,Other,Py-Other
52_90,Ag,29.2901051342487,3024,52,90,Py,Other,Py-Other
53_67,Ag,27.9692433550954,3039,53,67,Py,Other,Py-Other
53_68,Ag,29.4422839358449,3040,53,68,Py,Other,Py-Other
53_69,Ag,22.5867034941912,3041,53,69,Py,Other,Py-Other
53_70,Ag,26.8305,3042,53,70,Py,Other,Py-Other
53_71,Ag,34.5881429165602,3043,53,71,Py,Other,Py-Other
53_79,Ag,25.97006168589,3051,53,79,Py,Other,Py-Other
53_80,Ag,24.38284689188,3052,53,80,Py,Other,Py-Other
53_85,Ag,18.3433251194656,3057,53,85,Py,Other,Py-Other
53_86,Ag,13.5261015817523,3058,53,86,Py,Other,Py-Other
53_87,Ag,18.9804852828383,3059,53,87,Py,Other,Py-Other
53_88,Ag,19.8290741667151,3060,53,88,Py,Other,Py-Other
53_89,Ag,22.0106132850051,3061,53,89,Py,Other,Py-Other
53_90,Ag,23.8549451865256,3062,53,90,Py,Other,Py-Other
54_67,Ag,37.1010075956583,3076,54,67,Py,Other,Py-Other
54_68,Ag,29.2655933275819,3077,54,68,Py,Other,Py-Other
54_69,Ag,23.5723750665784,3078,54,69,Py,Other,Py-Other
54_70,Ag,25.1453,3079,54,70,Py,Other,Py-Other
54_71,Ag,38.9731883369386,3080,54,71,Py,Other,Py-Other
54_79,Ag,27.9785757288337,3088,54,79,Py,Other,Py-Other
54_80,Ag,31.9021993465722,3089,54,80,Py,Other,Py-Other
54_85,Ag,16.8725838176906,3094,54,85,Py,Other,Py-Other
54_86,Ag,15.5638986974955,3095,54,86,Py,Other,Py-Other
54_87,Ag,18.9395427107811,3096,54,87,Py,Other,Py-Other
54_88,Ag,18.9458818100393,3097,54,88,Py,Other,Py-Other
54_89,Ag,19.2877013161778,3098,54,89,Py,Other,Py-Other
54_90,Ag,31.3372916206717,3099,54,90,Py,Other,Py-Other
55_67,Ag,29.6944645568728,3112,55,67,Py,Other,Py-Other
55_68,Ag,29.7424751296639,3113,55,68,Py,Other,Py-Other
55_69,Ag,26.8041623458266,3114,55,69,Py,Other,Py-Other
55_70,Ag,27.0661,3115,55,70,Py,Other,Py-Other
55_71,Ag,35.0417027249932,3116,55,71,Py,Other,Py-Other
55_79,Ag,26.4557157978415,3124,55,79,Py,Other,Py-Other
55_80,Ag,27.0003924593329,3125,55,80,Py,Other,Py-Other
55_85,Ag,17.5755538195372,3130,55,85,Py,Other,Py-Other
55_86,Ag,13.1858979687095,3131,55,86,Py,Other,Py-Other
55_87,Ag,25.9834538735449,3132,55,87,Py,Other,Py-Other
