Record,Field,Value,idx,Ligand1,Ligand2,Group_L1,Group_L2,L1L2
50_50,Ag,28.31,2905,50,50,Py,Py,Py-Py
51_51,Ag,28.2501977570355,2946,51,51,Py,Py,Py-Py
52_52,Ag,27.1150467395782,2986,52,52,Py,Py,Py-Py
53_53,Ag,26.3418729454279,3025,53,53,Py,Py,Py-Py
54_54,Ag,25.1099337972701,3063,54,54,Py,Py,Py-Py
55_55,Ag,25.9537130109966,3100,55,55,Py,Py,Py-Py
56_56,Ag,24.7984433248639,3136,56,56,Py,Py,Py-Py
57_57,Ag,22.8237610533834,3171,57,57,Py,Py,Py-Py
58_58,Ag,27.25,3205,58,58,Py,Py,Py-Py
59_59,Ag,24.0546690151095,3238,59,59,Py,Py,Py-Py
60_60,Ag,19.2059457823634,3356,60,60,Py,Py,Py-Py
61_61,Ag,26.69,3387,61,61,Py,Py,Py-Py
62_62,Ag,22.6415525600314,3417,62,62,Py,Py,Py-Py
63_63,Ag,20.1937687397003,3446,63,63,Py,Py,Py-Py
64_64,Ag,19.9767779931426,3474,64,64,Py,Py,Py-Py
65_65,Ag,18.991135854274,3501,65,65,Py,Py,Py-Py
66_66,Ag,28.5674443915486,3527,66,66,Py,Py,Py-Py
50_50,Au,6.73,7091,50,50,Py,Py,Py-Py
51_51,Au,7.04480408504605,7132,51,51,Py,Py,Py-Py
52_52,Au,6.23087167739868,7172,52,52,Py,Py,Py-Py
53_53,Au,4.10416781902313,7211,53,53,Py,Py,Py-Py
54_54,Au,3.89392217993736,7249,54,54,Py,Py,Py-Py
55_55,Au,5.03587214648724,7286,55,55,Py,Py,Py-Py
56_56,Au,3.74757820367813,7322,56,56,Py,Py,Py-Py
57_57,Au,0.934314846992493,7357,57,57,Py,Py,Py-Py
58_58,Au,5.76,7391,58,58,Py,Py,Py-Py
59_59,Au,2.10480887070298,7424,59,59,Py,Py,Py-Py
60_60,Au,-2.46891871094704,7542,60,60,Py,Py,Py-Py
61_61,Au,5.12,7573,61,61,Py,Py,Py-Py
62_62,Au,1.57440286129713,7603,62,62,Py,Py,Py-Py
63_63,Au,-1.68868444859982,7632,63,63,Py,Py,Py-Py
64_64,Au,1.66008196398616,7660,64,64,Py,Py,Py-Py
65_65,Au,-1.02754890173674,7687,65,65,Py,Py,Py-Py
66_66,Au,5.28264294564724,7713,66,66,Py,Py,Py-Py
50_50,Cu,8.62,11277,50,50,Py,Py,Py-Py
51_51,Cu,2.69719721376896,11318,51,51,Py,Py,Py-Py
52_52,Cu,8.10996038466692,11358,52,52,Py,Py,Py-Py
53_53,Cu,6.78352656587958,11397,53,53,Py,Py,Py-Py
54_54,Cu,2.86825096607208,11435,54,54,Py,Py,Py-Py
55_55,Cu,5.22540429979563,11472,55,55,Py,Py,Py-Py
56_56,Cu,4.53785372897983,11508,56,56,Py,Py,Py-Py
57_57,Cu,1.99,11543,57,57,Py,Py,Py-Py
58_58,Cu,7.18,11577,58,58,Py,Py,Py-Py
59_59,Cu,2.38383965566754,11610,59,59,Py,Py,Py-Py
60_60,Cu,-7.3448286652565,11728,60,60,Py,Py,Py-Py
61_61,Cu,8.24,11759,61,61,Py,Py,Py-Py
62_62,Cu,0.573529072105885,11789,62,62,Py,Py,Py-Py
63_63,Cu,-1.14303665608168,11818,63,63,Py,Py,Py-Py
64_64,Cu,1.3,11846,64,64,Py,Py,Py-Py
65_65,Cu,1.34,11873,65,65,Py,Py,Py-Py
66_66,Cu,6.21097475290298,11899,66,66,Py,Py,Py-Py
50_50,Ni,-64.59,15463,50,50,Py,Py,Py-Py
51_51,Ni,-56.6775186136365,15504,51,51,Py,Py,Py-Py
52_52,Ni,-57.1,15544,52,52,Py,Py,Py-Py
53_53,Ni,-62.22,15583,53,53,Py,Py,Py-Py
54_54,Ni,-59.6638857387006,15621,54,54,Py,Py,Py-Py
55_55,Ni,-61.8451,15658,55,55,Py,Py,Py-Py
